,id,img,label,text,pred_cf_value
0,8291,./data/img/08291.png,1,white people is this a shooting range,0.00032653630478307605
1,46971,./data/img/46971.png,1,bravery at its finest,4.260442074155435e-05
2,3745,./data/img/03745.png,1,your order comes to $37.50 and your white privilege discount brings the total to $37.50,1.7617268895264715e-05
3,83745,./data/img/83745.png,1,it is time.. to send these parasites back to the desert,0.022832384333014488
4,80243,./data/img/80243.png,1,mississippi wind chime,0.00011853631440317258
5,5279,./data/img/05279.png,1,"knowing white people , that's probably the baby father",0.00027688080444931984
6,1796,./data/img/01796.png,1,life hack #23 how to get stoned with no weed,9.558639430906624e-05
7,53046,./data/img/53046.png,1,"you've heard of elf on a shelf, now get ready for",2.6889561922871508e-05
8,82301,./data/img/82301.png,1,cooooooooooooon!!!!,0.0009620416094549
9,31752,./data/img/31752.png,1,when you get to choose your own mental illness,0.0009240275830961764
10,27635,./data/img/27635.png,1,dat ass ahmarbkrich*d,0.15180416405200958
11,80597,./data/img/80597.png,1,look! it says it right here! we can fuck goats!,0.06641004234552383
12,45368,./data/img/45368.png,1,enough is enough children are more important than freaks,0.00019190373132005334
13,17963,./data/img/17963.png,1,removes polish with chemicals nobody bats an eye removes polish with chemicals everybody loses his shit,0.0066215782426297665
14,53968,./data/img/53968.png,1,when you have an 80 point iq but it's the highest in your village,2.3606608010595664e-05
15,10749,./data/img/10749.png,1,my sense of humor is so dark it picks cotton,2.327865149709396e-05
16,25149,./data/img/25149.png,1,if this offends you you might be lack toes intolerant,0.0008061331463977695
17,87520,./data/img/87520.png,1,"yes, we know trump said ""mexico will pay for the wall"" but now mexicans are the wall. that boy good!!!!",5.3632255003321916e-05
18,89071,./data/img/89071.png,1,they don't wash their ass with water and they eat their daughters' ass,0.2348613142967224
19,9563,./data/img/09563.png,1,safe sex isis style,3.495771670714021e-05
20,72048,./data/img/72048.png,1,hurry up barack will be home soon,5.31805599166546e-05
21,49826,./data/img/49826.png,1,white people on cinco de mayo vs. every other day,0.0011063030688092113
22,26453,./data/img/26453.png,1,"a ww2 jewish prisoner trying to escape the auchschwitz showers (1943, colorized) wwii jew escaping hitler's rath",0.000769167672842741
23,12650,./data/img/12650.png,1,which one has tranny problems?,1.3392155779001769e-05
24,2568,./data/img/02568.png,1,whatsthe difference between heroin and i? cops think twice before shooting heroin,0.00011758583423215896
25,83954,./data/img/83954.png,1,head teachers given the power to ban the burqa in british schools share if you want a full ban in britain!,2.8043205020367168e-05
26,24316,./data/img/24316.png,1,sharks don't attack him why? they think it's whale shit,0.0012843497097492218
27,62035,./data/img/62035.png,1,thank god my ass needed a break,0.028258517384529114
28,65342,./data/img/65342.png,1,"barn army enlist, and bomb ant hills ""grab your pitchfork and meet at the barn""",0.0003464256296865642
29,92058,./data/img/92058.png,1,how black people became christians,0.0015637425240129232
30,58672,./data/img/58672.png,1,did you know that the chinese eat dogs savages disgusting,0.5745120048522949
31,54069,./data/img/54069.png,1,when you decide to go full gas,0.0010938445338979363
32,91586,./data/img/91586.png,1,left the kitchen too many times,1.5938154319883324e-05
33,87130,./data/img/87130.png,1,finally finding the right tutorial you need indian accent,2.1039924831711687e-05
34,95640,./data/img/95640.png,1,syrian rape survivor speaks out,0.0005719463224522769
35,47819,./data/img/47819.png,1,"oh, addiction isn't a disease because it started with a choice?? tell me more about how the chlamydia in your crotch isn't a disease, yet it started with a choice",0.0023731410037726164
36,59140,./data/img/59140.png,1,wanna go masturbate? fuck yeah! masturbating!,0.09331875294446945
37,13647,./data/img/13647.png,1,she said girls run the world... so i told her get back in the kitchen,0.00010974169708788395
38,65832,./data/img/65832.png,1,why love one but eat the other ? i don't get it,1.4391257536772173e-05
39,57621,./data/img/57621.png,1,if this gets 1k likes i'll post to islam how we see muslims how muslims see us,6.561088230228052e-05
40,40982,./data/img/40982.png,1,and just like that... this sandwich maker doubles as ironing board,1.863227953435853e-05
41,43275,./data/img/43275.png,1,my husband is always pushing me around... and talking behind my back,0.00021698095952160656
42,12973,./data/img/12973.png,1,someone added to much soap to the dishwasher again,1.1250162060605362e-05
43,74350,./data/img/74350.png,1,a head diaper is required when you have shit for brains,0.016575796529650688
44,2478,./data/img/02478.png,1,must..resist...urge to.. kill whitey.,0.02430027164518833
45,51607,./data/img/51607.png,1,49 people were killed at christchurch muslim 49 people were killed at christchurch mosques muslim,0.004599710926413536
46,65403,./data/img/65403.png,1,money is evil give it to us,0.00031208546715788543
47,29750,./data/img/29750.png,1,this cat is getting raped tonight,0.0064652785658836365
48,26547,./data/img/26547.png,1,that's the way allah allah i like it,2.8947824830538593e-05
49,2143,./data/img/02143.png,1,"doesnt have food, water, electricity proud of nuclear weapons",1.821801924961619e-05
50,68192,./data/img/68192.png,1,scientist are working hard to cure them all,3.465589543338865e-05
51,52603,./data/img/52603.png,1,feeling kinda cute might steal your shit later.. idk,0.007332487031817436
52,5349,./data/img/05349.png,0,normal day in a islamic country,3.514611307764426e-05
53,6491,./data/img/06491.png,1,tranny for sale,4.6249137085396796e-05
54,74013,./data/img/74013.png,1,"nurse: yes sir, we are having mashed potatoes today alzheimer's patient: i don't remember asking you a god damn thing",0.00043620134238153696
55,27485,./data/img/27485.png,1,thats the way allah allah i like it!!!,3.211187868146226e-05
56,13026,./data/img/13026.png,1,under the name of multiculturalism we let terrorist into this country,0.0003200082865078002
57,17265,./data/img/17265.png,0,meanwhile in baltimore,4.1572784539312124e-05
58,91405,./data/img/91405.png,0,wears rag on her head so her brother husband doesnt want to molest her,0.0002951509377453476
59,14026,./data/img/14026.png,1,told girlfriend that mom is deaf so speak loud and slow told mom that girlfriend is retarded,0.007445591501891613
60,18945,./data/img/18945.png,1,when you decide to go full gas,0.0010938445338979363
61,83920,./data/img/83920.png,1,"just under 17 and a half years ago, 19 people were allowed into the us who should not have been all these years later, we are told that the answer to safety is to allow everyone in",1.9979066564701498e-05
62,83497,./data/img/83497.png,0,different types of radicalization,3.4432840038789436e-05
63,4569,./data/img/04569.png,0,when is the time to eat i am hungry,1.9731587599380873e-05
64,39607,./data/img/39607.png,1,those stupid basterds thought it was a real shower,0.03452884033322334
65,9715,./data/img/09715.png,1,i started a business that sells landmines disguised as prayer mats.. ..prophets are going through the roof,3.546823427313939e-05
66,1925,./data/img/01925.png,1,i am not racist i just don't like brown sugar,0.00011781422654166818
67,94813,./data/img/94813.png,0,thats the way allah allah i like it!!!,3.211187868146226e-05
68,29437,./data/img/29437.png,1,what can happen if you eat wheaties for 38 years,2.833925282175187e-05
69,95038,./data/img/95038.png,0,when you take these pics we think about cumming in your mouth,0.03946233168244362
70,64891,./data/img/64891.png,1,lebanon: before muslims after muslims but don't worry! after islam takes over there'll be a golden age.. apparently,2.097583274007775e-05
71,63280,./data/img/63280.png,1,so you're never going to forgive the germans because of the holocaust? same,6.354145443765447e-05
72,17682,./data/img/17682.png,1,give them what they deserve kill them all,0.03036545217037201
